"Time (EpSec),""Range (km)"""
3731009.000,2295.579866
3731029.000,2347.221418
3731041.657,2383.574066
3759569.088,2380.899558
3759589.000,2306.891523
3759609.000,2238.819545
3759629.000,2177.646388
3759649.000,2124.000702
3759669.000,2078.494288
3759689.000,2041.696502
3759709.000,2014.105566
3759729.000,1996.119825
3759749.000,1988.012009
3759769.000,1989.910374
3759789.000,2001.789322
3759809.000,2023.471460
3759829.000,2054.640421
3759849.000,2094.862589
3759869.000,2143.614162
3759889.000,2200.310283
3759909.000,2264.332796
3759929.000,2335.054502
3759944.940,2395.805715
3765391.381,2368.739836
3765411.000,2241.495775
3765431.000,2112.875382
3765451.000,1985.631140
3765471.000,1860.105206
3765491.000,1736.729195
3765511.000,1616.053615
3765531.000,1498.787644
3765551.000,1385.852156
3765571.000,1278.448145
3765591.000,1178.139277
3765611.000,1086.937614
3765631.000,1007.360568
3765651.000,942.391768
3765671.000,895.243348
3765691.000,868.837902
3765711.000,865.083306
3765731.000,884.264301
3765751.000,924.941825
3765771.000,984.433301
3765791.000,1059.546090
3765811.000,1147.182052
3765831.000,1244.660524
3765851.000,1349.809027
3765871.000,1460.927775
3765891.000,1576.708136
3765911.000,1696.147049
3765931.000,1818.473568
3765951.000,1943.090988
3765971.000,2069.533094
3765991.000,2197.431687
3766011.000,2326.492646
3766021.762,2396.337319
3809499.296,2395.721493
3809519.000,2273.465856
3809539.000,2150.974983
3809559.000,2030.448605
3809579.000,1912.319942
3809599.000,1797.122917
3809619.000,1685.518812
3809639.000,1578.328780
3809659.000,1476.571525
3809679.000,1381.502865
3809699.000,1294.649000
3809719.000,1217.816852
3809739.000,1153.054729
3809759.000,1102.528996
3809779.000,1068.291837
3809799.000,1051.957346
3809819.000,1054.371974
3809839.000,1075.415124
3809859.000,1114.029228
3809879.000,1168.463816
3809899.000,1236.615098
3809919.000,1316.332296
3809939.000,1405.622155
3809959.000,1502.748356
3809979.000,1606.255627
3809999.000,1714.951676
3810019.000,1827.871340
3810039.000,1944.237031
3810059.000,2063.422243
3810079.000,2184.920521
3810099.000,2308.320255
3810108.702,2368.762301
3815529.600,2396.599000
3815549.000,2301.918487
3815569.000,2208.797760
3815589.000,2120.868007
3815609.000,2038.840449
3815629.000,1963.491391
3815649.000,1895.650397
3815669.000,1836.178994
3815689.000,1785.938427
3815709.000,1745.746135
3815729.000,1716.323559
3815749.000,1698.240687
3815769.000,1691.866001
3815789.000,1697.330888
3815809.000,1714.516251
3815829.000,1743.064504
3815849.000,1782.413941
3815869.000,1831.848264
3815889.000,1890.552059
3815909.000,1957.663356
3815929.000,2032.317788
3815949.000,2113.681527
3815969.000,2200.973277
3815989.000,2293.476521
3816006.316,2377.274661
3850244.586,2369.846508
3850264.000,2243.249926
3850284.000,2113.877406
3850304.000,1985.830356
3850324.000,1859.445072
3850344.000,1735.146606
3850364.000,1613.478454
3850384.000,1495.142967
3850404.000,1381.055737
3850424.000,1272.416683
3850444.000,1170.797406
3850464.000,1078.234881
3850484.000,997.299536
3850504.000,931.067557
3850524.000,882.885232
3850544.000,855.827946
3850564.000,851.921806
3850584.000,871.478434
3850604.000,912.981743
3850624.000,973.610911
3850644.000,1050.032749
3850664.000,1139.041643
3850684.000,1237.889356
3850704.000,1344.367531
3850724.000,1456.761042
3850744.000,1573.757665
3850764.000,1694.356761
3850784.000,1817.792465
3850804.000,1943.474024
3850824.000,2070.941125
3850844.000,2199.831013
3850864.000,2329.854402
3850874.260,2396.916156
3856416.504,2375.776501
3856436.000,2319.713586
3856456.000,2268.912299
3856476.000,2225.386012
3856496.000,2189.580980
3856516.000,2161.889617
3856536.000,2142.631469
3856556.000,2132.036261
3856576.000,2130.230588
3856596.000,2137.230267
3856616.000,2152.939154
3856636.000,2177.154916
3856656.000,2209.580571
3856676.000,2249.840601
3856696.000,2297.499481
3856716.000,2352.080983
3856728.645,2389.935337
3894380.537,2394.164198
3894400.000,2290.669790
3894420.000,2187.643900
3894440.000,2088.534626
3894460.000,1993.977968
3894480.000,1904.702088
3894500.000,1821.531379
3894520.000,1745.383903
3894540.000,1677.258486
3894560.000,1618.206901
3894580.000,1569.287946
3894600.000,1531.502327
3894620.000,1505.712817
3894640.000,1492.560201
3894660.000,1492.391745
3894680.000,1505.219207
3894700.000,1530.717540
3894720.000,1568.264973
3894740.000,1617.013409
3894760.000,1675.971936
3894780.000,1744.087271
3894800.000,1820.309688
3894820.000,1903.640049
3894840.000,1993.158327
3894860.000,2088.037343
3894880.000,2187.545777
3894900.000,2291.044428
3894914.866,2370.230362
3900346.577,2397.064714
3900366.000,2281.523525
3900386.000,2164.945937
3900406.000,2051.263898
3900426.000,1941.040330
3900446.000,1834.950993
3900466.000,1733.805319
3900486.000,1638.566900
3900506.000,1550.369569
3900526.000,1470.521890
3900546.000,1400.489496
3900566.000,1341.841718
3900586.000,1296.150586
3900606.000,1264.840232
3900626.000,1249.004811
3900646.000,1249.237790
3900666.000,1265.527957
3900686.000,1297.261204
3900706.000,1343.327811
3900726.000,1402.294367
3900746.000,1472.585326
3900766.000,1552.632311
3900786.000,1640.973303
3900806.000,1736.304608
3900826.000,1837.497543
3900846.000,1943.593437
3900866.000,2053.787238
3900886.000,2167.406943
3900906.000,2283.892789
3900921.032,2373.044204
3935123.116,2372.309086
3935143.000,2251.279422
3935163.000,2131.658081
3935183.000,2014.594377
3935203.000,1900.619510
3935223.000,1790.380720
3935243.000,1684.667181
3935263.000,1584.438421
3935283.000,1490.851917
3935303.000,1405.282977
3935323.000,1329.324321
3935343.000,1264.747307
3935363.000,1213.403350
3935383.000,1177.051564
3935403.000,1157.124502
3935423.000,1154.483928
3935443.000,1169.249929
3935463.000,1200.775914
3935483.000,1247.780417
3935503.000,1308.578431
3935523.000,1381.326110
3935543.000,1464.214882
3935563.000,1555.591858
3935583.000,1654.014663
3935603.000,1758.261354
3935623.000,1867.315164
3935643.000,1980.338342
3935663.000,2096.643501
3935683.000,2215.666772
3935703.000,2336.944480
3935712.802,2397.088915
3941155.482,2370.867247
3941175.000,2273.359743
3941195.000,2177.509197
3941215.000,2086.373090
3941235.000,2000.632564
3941255.000,1921.044104
3941275.000,1848.433240
3941295.000,1783.679328
3941315.000,1727.689064
3941335.000,1681.356786
3941355.000,1645.512377
3941375.000,1620.860567
3941395.000,1607.919861
3941415.000,1606.971556
3941435.000,1618.029800
3941455.000,1640.839916
3941475.000,1674.905093
3941495.000,1719.535288
3941515.000,1773.907961
3941535.000,1837.129283
3941555.000,1908.287716
3941575.000,1986.495254
3941595.000,2070.915671
3941615.000,2160.780875
3941635.000,2255.398156
3941655.000,2354.150933
3941662.793,2393.632242
3979298.448,2391.124164
3979318.000,2321.098414
3979338.000,2255.344835
3979358.000,2196.098718
3979378.000,2143.933130
3979398.000,2099.406304
3979418.000,2063.039932
3979438.000,2035.294827
3979458.000,2016.546401
3979478.000,2007.062308
3979498.000,2006.985379
3979518.000,2016.323984
3979538.000,2034.951698
3979558.000,2062.615999
3979578.000,2098.954885
3979598.000,2143.518684
3979618.000,2195.794600
3979638.000,2255.230965
3979658.000,2321.259303
3979672.844,2374.192626
3985181.706,2396.984869
3985201.000,2272.106913
3985221.000,2143.794837
3985241.000,2016.915506
3985261.000,1891.819747
3985281.000,1768.947966
3985301.000,1648.858622
3985321.000,1532.266196
3985341.000,1420.090939
3985361.000,1313.521724
3985381.000,1214.089732
3985401.000,1123.741568
3985421.000,1044.881958
3985441.000,980.326878
3985461.000,933.081914
3985481.000,905.882358
3985501.000,900.559256
3985521.000,917.496305
3985541.000,955.503747
3985561.000,1012.195584
3985581.000,1084.623386
3985601.000,1169.839458
3985621.000,1265.228945
3985641.000,1368.628723
3985661.000,1478.318073
3985681.000,1592.954697
3985701.000,1711.499034
3985721.000,1833.145586
3985741.000,1957.266960
3985761.000,2083.370559
3985781.000,2211.065885
3985801.000,2340.040111
3985805.670,2370.311700
4020030.061,2376.156840
4020050.000,2273.750270
4020070.000,2175.118538
4020090.000,2081.211020
4020110.000,1992.743704
4020130.000,1910.517883
4020150.000,1835.414986
4020170.000,1768.381760
4020190.000,1710.402244
4020210.000,1662.454566
4020230.000,1625.452424
4020250.000,1600.175808
4020270.000,1587.199889
4020290.000,1586.835606
