"Time (EpSec)","Range (km)"
4110956.000,1305.574174
4110966.000,1252.283922
4110976.000,1200.773238
4110986.000,1151.286631
4110996.000,1104.101660
4111006.000,1059.530938
4111016.000,1017.922650
4111026.000,979.658677
4111036.000,945.149205
4111046.000,914.822651
4111056.000,889.110056
4111066.000,868.423690
4111076.000,853.130981
4111086.000,843.526418
4111096.000,839.805619
4111106.000,842.046339
4111116.000,850.200563
4111126.000,864.099380
4111136.000,883.469597
4111146.000,907.958437
4111156.000,937.161556
4111166.000,970.649892
4111176.000,1007.992388
4111186.000,1048.773010
4111196.000,1092.602096
4111206.000,1139.122778
4111216.000,1188.013602
4111226.000,1238.988493
4111236.000,1291.795032
4111246.000,1346.211790
4111256.000,1402.045229
4111266.000,1459.126533
4111276.000,1517.308554
4111286.000,1576.462998
4111296.000,1636.477892
4111306.000,1697.255350
4111316.000,1758.709629
4111321.303,1791.548205
4154997.867,1790.389087
4155007.000,1740.492989
4155017.000,1686.908771
4155027.000,1634.534140
4155037.000,1583.495771
4155047.000,1533.933574
4155057.000,1486.001624
4155067.000,1439.868941
4155077.000,1395.719962
4155087.000,1353.754581
4155097.000,1314.187564
4155107.000,1277.247128
4155117.000,1243.172453
4155127.000,1212.209927
4155137.000,1184.607941
4155147.000,1160.610280
4155157.000,1140.448047
4155167.000,1124.330731
4155177.000,1112.436832
4155187.000,1104.904948
4155197.000,1101.826248
4155207.000,1103.239226
4155217.000,1109.127417
4155227.000,1119.420449
4155237.000,1133.998106
4155247.000,1152.697106
4155257.000,1175.319571
4155267.000,1201.642313
4155277.000,1231.426046
4155287.000,1264.423820
4155297.000,1300.388232
4155307.000,1339.077183
4155317.000,1380.258215
4155327.000,1423.711420
4155337.000,1469.231286
4155347.000,1516.627579
4155357.000,1565.725529
4155367.000,1616.365499
4155377.000,1668.402325
4155387.000,1721.704431
4155396.733,1774.684749
4161060.735,1790.292860
4161070.000,1764.195738
4161080.000,1738.362146
4161090.000,1715.061143
4161100.000,1694.399502
4161110.000,1676.476784
4161120.000,1661.383281
4161130.000,1649.197986
4161140.000,1639.986706
4161150.000,1633.800375
4161160.000,1630.673704
4161170.000,1630.624244
4161180.000,1633.651835
4161190.000,1639.738686
4161200.000,1648.849820
4161210.000,1660.934037
4161220.000,1675.925266
4161230.000,1693.744245
4161240.000,1714.300418
4161250.000,1737.493959
4161260.000,1763.217840
4161267.052,1782.820056
4195733.357,1775.391083
4195743.000,1716.506297
4195753.000,1656.156788
4195763.000,1596.621266
4195773.000,1538.001239
4195783.000,1480.412337
4195793.000,1423.986424
4195803.000,1368.873948
4195813.000,1315.246496
4195823.000,1263.299495
4195833.000,1213.254905
4195843.000,1165.363703
4195853.000,1119.907779
4195863.000,1077.200772
4195873.000,1037.587132
4195883.000,1001.438598
4195893.000,969.147124
4195903.000,941.113522
4195913.000,917.731209
4195923.000,899.365633
4195933.000,886.330698
4195943.000,878.864988
4195953.000,877.111449
4195963.000,881.104283
4195973.000,890.765665
4195983.000,905.913088
4195993.000,926.275706
4196003.000,951.516468
4196013.000,981.256208
4196023.000,1015.096328
4196033.000,1052.637768
4196043.000,1093.495328
4196053.000,1137.307282
4196063.000,1183.740947
4196073.000,1232.495084
4196083.000,1283.300049
4196093.000,1335.916472
4196103.000,1390.133075
4196113.000,1445.764076
4196123.000,1502.646469
4196133.000,1560.637368
4196143.000,1619.611526
4196153.000,1679.459078
4196163.000,1740.083522
4196171.486,1792.077342
4239915.651,1787.526626
4239925.000,1756.540265
4239935.000,1725.473206
4239945.000,1696.671972
4239955.000,1670.257863
4239965.000,1646.349600
4239975.000,1625.061336
4239985.000,1606.500493
4239995.000,1590.765504
4240005.000,1577.943560
4240015.000,1568.108452
4240025.000,1561.318626
4240035.000,1557.615557
4240045.000,1557.022630
4240055.000,1559.544358
4240065.000,1565.166329
4240075.000,1573.855618
4240085.000,1585.561761
4240095.000,1600.218180
4240105.000,1617.743995
4240115.000,1638.046098
4240125.000,1661.021372
4240135.000,1686.558962
4240145.000,1714.542465
4240155.000,1744.852063
4240165.000,1777.366316
4240165.068,1777.595393
4245841.811,1791.905466
4245851.000,1743.903501
4245861.000,1692.935827
4245871.000,1643.415290
4245881.000,1595.482275
4245891.000,1549.289570
4245901.000,1505.002653
4245911.000,1462.799618
4245921.000,1422.870639
4245931.000,1385.416805
4245941.000,1350.648194
4245951.000,1318.781028
4245961.000,1290.033814
4245971.000,1264.622431
4245981.000,1242.754228
4245991.000,1224.621278
4246001.000,1210.393304
4246011.000,1200.210558
4246021.000,1194.177425
4246031.000,1192.357322
4246041.000,1194.769451
4246051.000,1201.387798
4246061.000,1212.142494
4246071.000,1226.923302
4246081.000,1245.585046
4246091.000,1267.954091
4246101.000,1293.835486
4246111.000,1323.020069
4246121.000,1355.291074
4246131.000,1390.429901
4246141.000,1428.220879
4246151.000,1468.454977
4246161.000,1510.932511
4246171.000,1555.464898
4246181.000,1601.875801
4246191.000,1650.001533
4246201.000,1699.691080
4246211.000,1750.805780
4246216.210,1777.960723
4280626.460,1778.085678
4280636.000,1729.147622
4280646.000,1679.202989
4280656.000,1630.776127
4280666.000,1584.012139
4280676.000,1539.068314
4280686.000,1496.114187
4280696.000,1455.331206
4280706.000,1416.911863
4280716.000,1381.058161
4280726.000,1347.979260
4280736.000,1317.888217
4280746.000,1290.997717
4280756.000,1267.514827
4280766.000,1247.634972
4280776.000,1231.535176
4280786.000,1219.367281
4280796.000,1211.251438
4280806.000,1207.270553
4280816.000,1207.466239
4280826.000,1211.836714
4280836.000,1220.336888
4280846.000,1232.880690
4280856.000,1249.345185
4280866.000,1269.576288
4280876.000,1293.395295
4280886.000,1320.605725
4280896.000,1350.999950
4280906.000,1384.365217
4280916.000,1420.488797
4280926.000,1459.162164
4280936.000,1500.184170
4280946.000,1543.363348
4280956.000,1588.519343
4280966.000,1635.483756
4280976.000,1684.100438
4280986.000,1734.225389
4280996.000,1785.726389
4280997.179,1791.883592
4286670.558,1777.396498
4286680.000,1745.441287
4286690.000,1713.691717
4286700.000,1684.219513
4286710.000,1657.148644
4286720.000,1632.600741
4286730.000,1610.693033
4286740.000,1591.536109
4286750.000,1575.231567
4286760.000,1561.869643
4286770.000,1551.526933
4286780.000,1544.264327
4286790.000,1540.125297
4286800.000,1539.134541
4286810.000,1541.297338
4286820.000,1546.599305
4286830.000,1555.006847
4286840.000,1566.468143
4286850.000,1580.914644
4286860.000,1598.262961
4286870.000,1618.417041
4286880.000,1641.270504
4286890.000,1666.709023
4286900.000,1694.612649
4286910.000,1724.857928
4286920.000,1757.319950
4286928.825,1787.708361
4330668.522,1792.071709
4330678.000,1733.874732
4330688.000,1673.144910
4330698.000,1613.186854
4330708.000,1554.097035
4330718.000,1495.985395
4330728.000,1438.977398
4330738.000,1383.216337
4330748.000,1328.865883
4330758.000,1276.112820
4330768.000,1225.169857
4330778.000,1176.278337
4330788.000,1129.710540
4330798.000,1085.771120
4330808.000,1044.797052
4330818.000,1007.155272
4330828.000,973.237055
4330838.000,943.448178
4330848.000,918.194231
4330858.000,897.861007
4330868.000,882.791050
4330878.000,873.258737
4330888.000,869.447438
4330898.000,871.432763
4330908.000,879.175361
4330918.000,892.524691
4330928.000,911.233050
4330938.000,934.976907
4330948.000,963.381600
4330958.000,996.045536
4330968.000,1032.561243
4330978.000,1072.531627
4330988.000,1115.581302
4330998.000,1161.363456
4331008.000,1209.563135
4331018.000,1259.897930
4331028.000,1312.116941
4331038.000,1365.998686
4331048.000,1421.348488
4331058.000,1477.995667
4331068.000,1535.790766
4331078.000,1594.602942
4331088.000,1654.317572
4331098.000,1714.834125
4331107.880,1775.323823
4365579.304,1783.095525
4365589.000,1757.927376
4365599.000,1734.424834
4365609.000,1713.519191
4365619.000,1695.309339
4365629.000,1679.885453
4365639.000,1667.327037
4365649.000,1657.701072
4365659.000,1651.060370
4365669.000,1647.442207
4365679.000,1646.867340
4365689.000,1649.339422
4365699.000,1654.844971
4365709.000,1663.353650
4365719.000,1674.819148
4365729.000,1689.180388
4365739.000,1706.363061
4365749.000,1726.281408
4365759.000,1748.840143
4365769.000,1773.936426
4365774.998,1790.160458
4371442.018,1774.641710
4371452.000,1719.864231
4371462.000,1666.106013
4371472.000,1613.585904
4371482.000,1562.434251
4371492.000,1512.795185
4371502.000,1464.827599
4371512.000,1418.705942
4371522.000,1374.620687
4371532.000,1332.778323
4371542.000,1293.400651
4371552.000,1256.723169
4371562.000,1222.992283
4371572.000,1192.461151
4371582.000,1165.383975
4371592.000,1142.008698
4371602.000,1122.568419
4371612.000,1107.271755
4371622.000,1096.293021
4371632.000,1089.763084
4371642.000,1087.761920
4371652.000,1090.313829
4371662.000,1097.385881
4371672.000,1108.889987
4371682.000,1124.688066
4371692.000,1144.599806
4371702.000,1168.411974
4371712.000,1195.888270
4371722.000,1226.778834
4371732.000,1260.828732
4371742.000,1297.784966
4371752.000,1337.402037
4371762.000,1379.445859
4371772.000,1423.696369
4371782.000,1469.949005
4371792.000,1518.015293
4371802.000,1567.722779
4371812.000,1618.914497
4371822.000,1671.448144
4371832.000,1725.195076
4371842.000,1780.039221
4371843.877,1790.447862
4415519.522,1791.526208
4415529.000,1733.081181
4415539.000,1672.045624
4415549.000,1611.731187
4415559.000,1552.229355
4415569.000,1493.644600
4415579.000,1436.096432
4415589.000,1379.721736
4415599.000,1324.677401
4415609.000,1271.143192
4415619.000,1219.324804
4415629.000,1169.456934
4415639.000,1121.806119
