"Time (EpSec)","Range (km)"
2293266.000,1319.751608
2293286.000,1296.890601
2293306.000,1289.366002
2293326.000,1297.450474
2293346.000,1320.856312
2293366.000,1358.784168
2293386.000,1410.048704
2293386.742,1412.189806
2343222.477,1413.384749
2343242.000,1304.412506
2343262.000,1198.956984
2343282.000,1101.595170
2343302.000,1014.710426
2343322.000,941.253959
2343342.000,884.615451
2343362.000,848.199863
2343382.000,834.677133
2343402.000,845.154758
2343422.000,878.772061
2343442.000,933.019049
2343462.000,1004.538987
2343482.000,1089.909975
2343502.000,1186.112763
2343522.000,1290.690992
2343542.000,1401.731281
2343542.182,1402.766222
2383995.868,1402.583780
2384015.000,1313.169925
2384035.000,1228.523927
2384055.000,1154.889426
2384075.000,1094.520386
2384095.000,1049.730075
2384115.000,1022.581782
2384135.000,1014.498316
2384155.000,1025.927338
2384175.000,1056.224258
2384195.000,1103.817792
2384215.000,1166.567570
2384235.000,1242.148022
2384255.000,1328.335498
2384272.727,1412.006891
2428079.959,1412.684623
2428099.000,1310.854774
2428119.000,1210.628012
2428139.000,1119.178191
2428159.000,1038.876250
2428179.000,972.532514
2428199.000,923.198892
2428219.000,893.725832
2428239.000,886.116598
2428259.000,900.934494
2428279.000,937.115548
2428299.000,992.316177
2428319.000,1063.561798
2428339.000,1147.844927
2428359.000,1242.486218
2428379.000,1345.267952
2428389.561,1402.208371
2468821.689,1402.329883
2468841.000,1293.171000
2468861.000,1186.050348
2468881.000,1086.779643
2468901.000,997.752008
2468921.000,921.981005
2468941.000,862.999500
2468961.000,824.443519
2468981.000,809.251850
2469001.000,818.729018
2469021.000,852.044545
2469041.000,906.557006
2469061.000,978.705977
2469081.000,1064.881441
2469101.000,1161.930429
2469121.000,1267.317075
2469141.000,1379.087811
2469146.926,1413.205090
2512987.012,1410.446788
2513007.000,1349.502720
2513027.000,1300.789274
2513047.000,1265.792459
2513067.000,1245.691988
2513087.000,1241.227902
2513107.000,1252.576523
2513127.000,1279.319210
2513147.000,1320.516554
2513167.000,1374.859136
2513176.227,1403.950076
2553695.394,1403.865521
2553715.000,1306.361814
2553735.000,1215.193559
2553755.000,1134.454973
2553775.000,1066.557526
2553795.000,1014.117218
2553815.000,979.644803
2553835.000,965.084006
2553855.000,971.337573
2553875.000,998.011983
2553895.000,1043.531510
2553915.000,1105.552405
2553935.000,1181.453882
2553955.000,1268.716865
2553975.000,1365.129588
2553984.452,1413.338506
2603788.730,1413.134283
2603808.000,1327.280979
2603828.000,1247.764342
2603848.000,1180.003981
2603868.000,1126.155613
2603888.000,1088.310660
2603908.000,1068.187773
2603928.000,1066.798173
2603948.000,1084.213222
2603968.000,1119.547032
2603988.000,1171.162815
2604008.000,1237.001575
2604028.000,1314.900522
2604048.000,1402.819215
2604048.404,1404.687667
2638642.563,1407.915634
2638662.000,1374.013822
2638682.000,1352.998116
2638702.000,1346.710264
2638722.000,1355.360782
2638742.000,1378.667277
2638760.047,1411.677729
2644641.060,1405.806400
2644661.000,1385.044606
2644681.000,1378.164638
2644701.000,1385.453682
2644721.000,1406.681144
2644722.347,1408.598205
2688614.397,1413.347136
2688634.000,1302.794879
2688654.000,1195.975515
2688674.000,1096.998502
2688694.000,1008.228427
2688714.000,932.631419
2688734.000,873.673643
2688754.000,834.918541
2688774.000,819.258835
2688794.000,828.015415
2688814.000,860.441852
2688834.000,914.011338
2688854.000,985.261872
2688874.000,1070.643106
2688894.000,1167.026013
2688914.000,1271.875817
2688934.000,1383.228774
2688937.386,1402.613484
2729382.265,1402.437320
2729402.000,1305.512501
2729422.000,1215.614738
2729442.000,1136.120292
2729462.000,1069.384583
2729482.000,1017.945887
2729502.000,984.223312
2729522.000,970.075073
2729542.000,976.352292
2729562.000,1002.662386
2729582.000,1047.479931
2729602.000,1108.538457
2729622.000,1183.296653
2729642.000,1269.301489
2729662.000,1364.389072
2729671.509,1412.247526
2773476.717,1412.506686
2773496.000,1312.442248
2773516.000,1215.931116
2773536.000,1128.753387
2773556.000,1053.277561
2773576.000,992.220249
2773596.000,948.405530
2773616.000,924.315308
2773636.000,921.514836
2773656.000,940.201698
2773676.000,979.144369
2773696.000,1036.050846
2773716.000,1108.139351
2773736.000,1192.636184
2773756.000,1287.070846
2773776.000,1389.385239
2773778.431,1402.276091
2814215.088,1402.435653
2814235.000,1289.909208
2814255.000,1182.945683
2814275.000,1083.901443
2814295.000,995.191442
2814315.000,919.852344
2814335.000,861.433830
2814355.000,823.569517
2814375.000,809.164335
2814395.000,819.459519
2814415.000,853.554272
2814435.000,908.756938
2814455.000,981.487705
2814475.000,1068.141004
2814495.000,1165.579724
2814515.000,1271.286211
2814535.000,1383.323146
2814540.197,1413.280047
2858397.092,1409.821826
2858417.000,1362.169916
2858437.000,1327.360843
2858457.000,1306.711308
2858477.000,1300.912260
2858497.000,1310.170629
2858517.000,1334.176117
2858537.000,1372.151660
2858550.289,1404.566637
2899095.357,1404.210680
2899115.000,1310.957951
2899135.000,1224.973972
2899155.000,1150.094247
2899175.000,1088.649944
2899195.000,1043.048597
2899215.000,1015.449130
2899235.000,1007.345781
2899255.000,1019.208054
2899275.000,1050.355391
2899295.000,1099.137106
2899315.000,1163.317469
2899335.000,1240.483151
2899355.000,1328.342435
2899372.675,1413.271993
2949175.740,1413.247585
2949195.000,1322.187079
2949215.000,1236.486717
2949235.000,1161.826129
2949255.000,1100.490241
2949275.000,1054.834661
2949295.000,1026.973443
2949315.000,1018.379969
2949335.000,1029.539796
2949355.000,1059.823382
2949375.000,1107.649694
2949395.000,1170.850347
2949415.000,1247.063468
2949435.000,1334.029111
2949449.836,1404.295021
2984079.699,1409.459881
2984099.000,1405.351276
2984112.674,1410.512390
2990002.489,1404.745365
2990022.000,1362.944128
2990042.000,1333.343934
2990062.000,1318.056061
2990082.000,1317.578252
2990102.000,1331.919480
2990122.000,1360.598079
2990142.000,1402.715992
2990144.808,1409.640406
3034006.920,1413.292899
3034026.000,1305.032601
3034046.000,1197.293305
3034066.000,1097.192047
3034086.000,1007.062440
3034106.000,929.856911
3034126.000,869.068114
3034146.000,828.350819
3034166.000,810.756946
3034186.000,817.791278
3034206.000,848.841764
3034226.000,901.420085
3034246.000,972.020676
3034266.000,1057.013046
3034286.000,1153.188446
3034306.000,1257.948975
3034326.000,1369.286373
3034331.781,1402.469796
3074769.833,1402.322151
3074789.000,1304.178723
3074809.000,1209.354900
3074829.000,1124.248044
3074849.000,1051.257180
3074869.000,993.087051
3074889.000,952.478554
3074909.000,931.743231
3074929.000,932.211197
3074949.000,953.844901
3074969.000,995.250175
3074989.000,1054.077197
3075009.000,1127.573770
3075029.000,1213.042448
3075049.000,1308.100413
3075069.000,1410.769003
3075069.315,1412.435276
3118874.306,1412.302640
3118894.000,1313.956155
3118914.000,1222.027054
3118934.000,1140.080643
3118954.000,1070.457811
3118974.000,1015.735578
3118994.000,978.449389
3119014.000,960.655294
3119034.000,963.448264
3119054.000,986.658602
3119074.000,1028.901780
3119094.000,1087.951459
3119114.000,1161.228142
3119134.000,1246.200458
3119154.000,1340.617249
3119166.273,1402.404329
3159609.284,1402.572156
3159629.000,1291.626254
3159649.000,1185.200461
3159669.000,1086.793656
3159689.000,998.826634
3159709.000,924.326865
3159729.000,866.808199
3159749.000,829.834382
3159769.000,816.216676
3159789.000,827.112907
3159809.000,861.586346
3159829.000,916.965194
3159849.000,989.722140
3159869.000,1076.308091
3159889.000,1173.630565
3159909.000,1279.201638
3159929.000,1391.101662
3159932.867,1413.338233
3203815.452,1408.921127
3203835.000,1380.503912
3203855.000,1365.057007
3203875.000,1363.869108
3203895.000,1376.984909
3203915.000,1404.005057
3203915.863,1405.472582
3209793.540,1411.496945
3209813.000,1381.316644
3209833.000,1364.256884
3209853.000,1361.874262
3209873.000,1374.243457
3209893.000,1400.965722
3209897.123,1408.190455
3244496.479,1404.583063
3244516.000,1317.065800
3244536.000,1237.047167
3244556.000,1168.819498
3244576.000,1114.584467
3244596.000,1076.486069
3244616.000,1056.290781
3244636.000,1055.037529
3244656.000,1072.794454
3244676.000,1108.641955
3244696.000,1160.891387
3244716.000,1227.429317
3244736.000,1306.047454
3244756.000,1394.673336
3244759.943,1413.166181
3294563.739,1413.313410
3294583.000,1317.793529
3294603.000,1226.799120
3294623.000,1146.157604
3294643.000,1078.233772
3294663.000,1025.590172
3294683.000,990.690343
3294703.000,975.456341
3294723.000,980.811339
3294743.000,1006.423917
3294763.000,1050.802574
3294783.000,1111.683330
3294803.000,1186.503492
3294823.000,1272.776583
3294843.000,1368.302897
3294850.074,1403.950203
3335375.068,1404.097098
3335395.000,1347.318882
3335415.000,1302.988208
3335435.000,1272.656299
3335455.000,1257.343098
3335475.000,1257.596946
3335495.000,1273.401263
3335515.000,1304.177168
3335535.000,1348.880610
3335555.000,1406.158943
3335556.304,1410.294713
3379400.041,1413.222290
3379420.000,1300.019623
3379440.000,1192.473325
3379460.000,1092.617043
3379480.000,1002.804372
3379500.000,926.010900
3379520.000,865.749761
3379540.000,825.681587
3379560.000,808.835395
3379580.000,816.660766
3379600.000,848.475591
3379620.000,901.734579
3379640.000,972.904242
3379660.000,1058.352370
3379680.000,1154.883229
3379700.000,1259.916748
3379720.000,1371.461866
3379725.377,1402.356260
3420158.455,1402.246442
3420178.000,1298.955459
3420198.000,1200.425214
3420218.000,1111.097729
3420238.000,1033.401464
3420258.000,970.167583
